annee_de_publication,nature,organisme_preteur_ou_chef_de_file,date_d_emission_ou_date_de_mobilisation,date_de_derniere_echeance,capital_initial,capital_restant_du_au_31_12_2016,type_de_taux_d_interet,index,taux_initial_niveau_de_taux,taux_initial_taux_actuariel,profil_d_amortissement,possibilite_de_remboursement,categorie_d_emprunt
2010,1641 - Emprunts établissements crédit,BEI,2010-07-21,2023-07-21,100000000.0,100000000.0,Fixe,TAUX FIXE,3.451,3.4512,Emprunt in fine,oui,A-1
2016,16311 - Emissions obligataires,Crédit Agricole,2012-09-20,2026-01-20,100000000.0,100000000.0,Fixe,TAUX FIXE,2.909,2.9098,Emprunt in fine,non,A-1
2009,168 Autres emprunts et dettes assimilées,S.I.A.A.P.,1976-01-01,2024-06-15,59348.4,59348.4,Fixe,TAUX FIXE,0.0,0.0,Échéance constante,oui,A-1
2010,1641 - Emprunts établissements crédit,CREDIT FONCIER,2003-12-22,2018-12-22,40000000.0,40000000.0,Indexé,TAG12M,0.1776,1.3408,Emprunt in fine,oui,A-1
2015,16311 - Emissions obligataires,Goldman Sachs,2012-10-25,2029-10-25,70000000.0,70000000.0,Fixe,TAUX FIXE,3.02,3.0201,Emprunt in fine,non,A-1
2007,1641 - Emprunts établissements crédit,C.D.C.,1955-10-25,2020-03-31,5328.64,1841.46,Fixe,TAUX FIXE,2.0,1.3806,Échéance constante,oui,A-1
2010,16441 - Emprunts option tirage tréso,Caisse Nat. C.E.,2004-12-17,2010-12-17,75000000.0,0.0,Fixe,TAUX FIXE,0.0,0.0,Emprunt in fine,oui,A-1
2010,168 Autres emprunts et dettes assimilées,S.I.A.A.P.,1974-01-01,2021-06-15,26266.97,26266.97,Fixe,TAUX FIXE,0.0,0.0,Échéance constante,oui,A-1
2017,16311 - Emissions obligataires,15 - Crédit Suisse,2009-12-10,2020-01-10,49715000.0,49715000.0,Indexé,EURIBOR03M,-0.014,0.5454,Emprunt in fine,non,A-1
2015,1641 - Emprunts établissements crédit,BEI,2011-12-19,2024-12-19,50000000.0,50000000.0,Fixe,TAUX FIXE,3.36,3.3601,Emprunt in fine,non,A-1
2018,16311 - Emissions obligataires,Natixis-BNP,None,2022-12-19,40000000.0,40000000.0,None,EURIBOR03M,0.4,2.245,Emprunt in fine,non,A-1
2009,16311 - Emissions obligataires,Crédit Suisse-BNPP,2008-11-05,2018-11-05,95328884.65,95328884.65,Indexé,EURIBOR03M,0.11900000000000001,0.6826,Emprunt in fine,oui,A-1
2016,16311 - Emissions obligataires,HSBC,2010-12-02,2024-12-02,100000000.0,100000000.0,Fixe,TAUX FIXE,3.5,3.5000999999999998,Emprunt in fine,non,A-1
2007,16311 - Emissions obligataires,Crédit Suisse,2007-12-14,2017-01-14,24405125.08,24405125.08,Indexé,EURIBOR04M,0.021,1.1414,Emprunt in fine,oui,A-1
2018,16311 - Emissions obligataires,HSBC-Natixis-SG,None,2021-10-29,155000000.0,155000000.0,None,TAUX FIXE,4.75,4.75,Emprunt in fine,non,A-1
2018,1641 - Emprunts établissements crédit,CDC,None,2036-12-01,50000000.0,45000000.0,None,TAUX FIXE,0.0,0.0,Amort. constant ou progressif,oui,A-1
2013,16311 - Emissions obligataires,Deutsche Bank,2012-04-02,2027-04-02,100000000.0,100000000.0,Fixe,TAUX FIXE,4.0,4.0001,Emprunt in fine,oui,A-1
2016,16311 - Emissions obligataires,Crédit Suisse-BNPP,2008-11-05,2018-11-05,95328884.65,95328884.65,Indexé,EURIBOR03M,-0.264,0.5764,Emprunt in fine,non,A-1
2016,1641 - Emprunts établissements crédit,C.D.C.,2016-11-30,2036-12-01,50000000.0,50000000.0,Fixe,TAUX FIXE,0.0,0.0,Amort. constant ou progressif,non,A-1
2013,16311 - Emissions obligataires,Goldman Sachs,2011-11-25,2025-12-29,100000000.0,100000000.0,Fixe,TAUX FIXE,3.875,3.8757,Emprunt in fine,oui,A-1
2017,1641 - Emprunts établissements crédit,2 - C.D.C.,1954-12-21,2019-03-31,4278.21,255.57,Fixe,TAUX FIXE,2.0,1.341,Échéance constante,oui,A-1
2008,1641 - Emprunts établissements crédit,LANDESBANK BERLIN AG,1996-12-02,2011-12-02,83846959.48,83846959.48,Fixe,TAUX FIXE,5.95,5.9497,Emprunt in fine,oui,A-1
2014,16311 - Emissions obligataires,HSBC-Natixis-Banca IMI,2009-06-29,2022-06-29,200000000.0,200000000.0,Fixe,TAUX FIXE,4.625,4.6251,Emprunt in fine,non,A-1
2008,1641 - Emprunts établissements crédit,C.D.C.,1978-10-16,2008-02-25,7622450.86,0.0,Fixe,TAUX FIXE,5.426386,9.5103,Échéance constante,oui,A-1
2018,1641 - Emprunts établissements crédit,96 - BEI,None,2037-12-11,71500000.0,67925000.0,None,TAUX FIXE,1.151,1.151,Amort. constant ou progressif,oui,A-1
2018,16311 - Emissions obligataires,HSBC,None,2038-04-19,35000000.0,35000000.0,None,TAUX FIXE,1.512,1.512,Emprunt in fine,non,A-1
2016,1641 - Emprunts établissements crédit,Helaba,2016-10-19,2041-10-18,40000000.0,40000000.0,Fixe,TAUX FIXE,1.278,1.2782,Emprunt in fine,oui,A-1
2014,16876 - C.R.A.M.I.F / S.I.A.A.P.,S.I.A.A.P.,1974-01-01,2021-06-15,26266.97,18386.87,Fixe,TAUX FIXE,0.0,0.0,Échéance constante,non,A-1
2011,16441 - Emprunts option tirage tréso,DEXIA CREDIT LOCAL,2007-12-31,2013-12-31,50000000.0,50000000.0,Fixe,TAUX FIXE,0.0,0.0,Emprunt in fine,oui,A-1
2018,1641 - Emprunts établissements crédit,HSBC,None,2018-11-09,50651230.0,0.0,None,EURIBOR03M,0.0,2.9625,Emprunt in fine,non,A-1
2018,16311 - Emissions obligataires,Citi,None,2029-01-15,60000000.0,60000000.0,None,TAUX FIXE,3.0,3.0,Emprunt in fine,non,A-1
2017,16311 - Emissions obligataires,92 - HSBC,2014-07-17,2031-07-17,70000000.0,70000000.0,Fixe,TAUX FIXE,2.51,2.5102,Emprunt in fine,non,A-1
2012,1641 - Emprunts établissements crédit,C.D.C.,1954-12-21,2019-03-31,4278.21,852.05,Fixe,TAUX FIXE,2.0,1.341,Échéance constante,oui,A-1
2017,16311 - Emissions obligataires,10 - Natixis,2013-04-30,2032-04-30,15000000.0,15000000.0,Indexé,EURIBOR03M,0.341,0.424,Emprunt in fine,non,A-1
2011,1641 - Emprunts établissements crédit,CREDIT FONCIER,2003-12-22,2018-12-22,40000000.0,40000000.0,Indexé,TAG12M,0.1776,1.3408,Emprunt in fine,oui,A-1
2018,16311 - Emissions obligataires,SG/CACIB/Natixis,None,2035-04-30,250000000.0,250000000.0,None,TAUX FIXE,1.4809999999999999,1.4809999999999999,Emprunt in fine,non,A-1
2009,16311 - Emissions obligataires,Crédit Suisse,2007-12-14,2017-02-14,24405125.08,24405125.08,Indexé,EURIBOR03M,-0.002,1.0934,Emprunt in fine,oui,A-1
2008,1641 - Emprunts établissements crédit,SOCIETE GENERALE,2005-12-28,2019-12-28,25000000.0,25000000.0,Indexé,TAG01M,0.0,1.0218,Emprunt in fine,oui,A-1
2009,168 Autres emprunts et dettes assimilées,S.I.A.A.P.,1974-01-01,2021-06-15,26266.97,26266.97,Fixe,TAUX FIXE,0.0,0.0,Échéance constante,oui,A-1
2016,1641 - Emprunts établissements crédit,C.D.C.,1955-10-25,2020-03-31,5328.64,617.83,Fixe,TAUX FIXE,2.0,1.3806,Échéance constante,oui,A-1
2012,16311 - Emissions obligataires,Crédit Agricole,2012-09-20,2026-01-20,100000000.0,100000000.0,Fixe,TAUX FIXE,2.909,2.9098,Emprunt in fine,oui,A-1
2017,16311 - Emissions obligataires,10 - Natixis,2013-10-17,2028-10-17,50000000.0,50000000.0,Fixe,TAUX FIXE,3.15,3.1501,Emprunt in fine,non,A-1
2017,16311 - Emissions obligataires,106 - Citi,2016-10-27,2036-10-27,50000000.0,50000000.0,Fixe,TAUX FIXE,1.16,1.1604,Emprunt in fine,non,A-1
2015,16311 - Emissions obligataires,HSBC,2015-10-23,2045-10-23,35500000.0,35500000.0,Fixe,TAUX FIXE,2.1,2.1001,Emprunt in fine,non,A-1
2011,1641 - Emprunts établissements crédit,BEI,2011-12-19,2024-12-19,50000000.0,50000000.0,Fixe,TAUX FIXE,3.36,3.3601,Emprunt in fine,oui,A-1
2007,16311 - Emissions obligataires,HSBC-Natixis,2006-05-26,2016-05-26,200000000.0,200000000.0,Fixe,TAUX FIXE,4.125,4.1252,Emprunt in fine,oui,A-1
2017,1641 - Emprunts établissements crédit,20 - Banque du Conseil de l'Europe,2017-10-04,2030-10-04,75000000.0,75000000.0,Fixe,TAUX FIXE,0.75,0.7518,Amort. constant ou progressif,non,A-1
